last_name,first_name,gender,country,date,competition,round,location,apparatus,rank,difficulty,execution,penalty,score,full_name
Abdul,Hadi,F,MAS,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,76,4.8,6.766,0,11.566,Hadi_Abdul
Abdul,Hadi,F,MAS,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,64,4.6,7.633,0,12.233,Hadi_Abdul
Abdul,Hadi,F,MAS,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,74,5.1,6.5,0,11.6,Hadi_Abdul
Abdul,Hadi,F,MAS,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,72,4.6,8.566,0,13.166,Hadi_Abdul
Abdul,Farah,F,MAS,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,76,4.8,6.766,0,11.566,Farah_Abdul
Abdul,Farah,F,MAS,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,64,4.6,7.633,0,12.233,Farah_Abdul
Abdul,Farah,F,MAS,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,74,5.1,6.5,0,11.6,Farah_Abdul
Adlerteg,Jonna,F,SWE,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,12,6.3,8.233,0,14.533,Jonna_Adlerteg
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,59,5.1,7.166,0,12.266,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,59,5.1,7.166,0,12.266,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",BB,NA,5.1,7.166,0,12.266,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,11,5.8,7.833,0,13.633,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,11,5.8,7.833,0,13.633,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",FX,NA,5.8,7.833,0,13.633,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",UB,NA,5.4,7.5,0,12.9,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,49,5.4,7.5,0,12.9,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,49,5.4,7.5,0,12.9,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,10,5.8,8.966,0,14.766,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,team_qual,"Tokyo, Japan",VT,NA,5.8,8.966,0,14.766,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-08-01,Olympic Games,team_final,"Tokyo, Japan",VT,NA,5.8,8.933,0,14.733,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,7,5.8,8.966,0,14.766,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT1,6,5.8,8.866,0.1,14.666,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,7,5.6,9.033,0,14.633,Liliia_Akhaimova
Akhaimova,Liliia,F,ROC,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT2,6,5.6,9.066,0,14.666,Liliia_Akhaimova
Alvarado,Luciana,F,CRC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,37,5.3,7.666,0,12.966,Luciana_Alvarado
Alvarado,Luciana,F,CRC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,37,5.3,7.666,0,12.966,Luciana_Alvarado
Alvarado,Luciana,F,CRC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,66,4.7,7.466,0,12.166,Luciana_Alvarado
Alvarado,Luciana,F,CRC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,66,4.7,7.466,0,12.166,Luciana_Alvarado
Alvarado,Luciana,F,CRC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",UE,55,4.9,7.841,0,12.741,Luciana_Alvarado
Alvarado,Luciana,F,CRC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,55,4.9,7.841,0,12.741,Luciana_Alvarado
Alvarado,Luciana,F,CRC,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",VT,59,4.6,8.833,0,13.433,Luciana_Alvarado
Andrade,Rebeca,F,BRA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",BB,5,5.7,7.966,0,13.666,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",BB,18,5.8,7.933,0,13.733,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,18,5.8,7.933,0,13.733,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",FX,7,5.9,8.166,0.4,13.666,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,aa_qual,"Tokyo, Japan",FX,4,5.7,8.366,0,14.066,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,4,5.7,8.366,0,14.066,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-08-01,Olympic Games,final,"Tokyo, Japan",FX,5,5.9,8.233,0.1,14.03,Rebeca_Andrade
Andrade,Rebeca,F,BRA,2021-07-29,Olympic Games,aa_final,"Tokyo, Japan",UE,5,6.3,8.366,0,14.666,Rebeca_Andrade
