gymnast,floor_int,hbars_int,pbars_int,horse_int,rings_int,vault_int,avg_diff_hb,sd_diff_hb,avg_diff_fx,sd_diff_fx,avg_diff_pb,sd_diff_pb,avg_diff_vault,sd_diff_vault,avg_diff_ph,sd_diff_ph,avg_diff_sr,sd_diff_sr
Aidan_Cuy,0.12107128437137646,0.010877400424671122,0.04140196293261784,-0.104672692254855,0.08051474017695585,0.004481556702221567,4,NA,4.7,NA,4.8,0,5,0.2828427124746193,3.7,NA,4.3,0
Alex_Diab,-0.03666862482372187,NA,NA,NA,0.027026512976681374,-0.5542152489408378,NA,NA,5.575,0.18929694486000928,NA,NA,5.4,0.2828427124746186,NA,NA,6.08,0.1549193338482966
Alex_Karadzhov,0.17459065446780572,0.4407033608691791,0.08909098325398772,0.009815237377273646,0.6464219206956303,0.07880115240427278,4.1,0,4.2,0,5,0,4,0,4.5,0.7071067811865476,4.1,0
Alex_Tapanes,-0.27565223895794455,-0.9788270899301594,-0.1718701153407883,0.06692160833747984,0.23030772308182007,-0.1180621646864588,3.75,0.3535533905932738,5,NA,4.65,0.21213203435596414,4.8,NA,4.65,0.4949747468305834,4.25,0.0707106781186545
Amari_Sewell,-0.28415742116221854,NA,NA,NA,NA,0.1894086785929624,NA,NA,5.4,NA,NA,NA,5.2,NA,NA,NA,NA,NA
Andrew_Layman,-0.10620370005838019,0.19289205627146452,0.18025642470908104,-0.3924822451783263,-0.7079504801374064,-0.008661459494965277,3.6,NA,5,NA,3.8,NA,5.2,NA,3.4,NA,4,NA
Anthony_Koppie,-0.14802526903311108,0.11816887106080684,-0.27803339180616843,-0.17219217776848572,0.46249308652680055,0.05497258501564764,4.266666666666667,0.152752523165195,4.6,0.10000000000000009,4.533333333333333,0.1527525231651946,5.2,0,3.3,0.40000000000000013,4.433333333333334,0.11547005383792526
Arthur_Ashton,-0.20913050258537272,-0.5593951734270652,-0.024057797991529316,-0.13193194952431345,-0.5079718338072727,-0.024695686310682433,4.1,NA,4.9,NA,4.5,NA,4.8,NA,4.9,NA,5,NA
Asher_Cohen,0.22052108424719621,0.26591153802959117,0.05850560608863277,0.044007864341925454,0.20668339666730187,0.017082482282101366,3.933333333333333,0.3214550253664317,4.55,0.0707106781186545,4.6000000000000005,0.34641016151377524,4.8,0,3.8666666666666667,0.15275252316519455,4.7,0
Asher_Hong,0.06404707999172826,-0.5237268698579787,0.33633542495338625,0.09428677879365246,0.10271122946952857,-0.020640801864348,5.2,0.22156468376279892,6.035714285714286,0.11507283885330295,6,0,5.885714285714286,0.2868548662402544,5.664285714285715,0.15495479666983217,5.966666666666667,0.08997354108424341
Austin_Padgett,-0.2841990937715327,-0.2272784482089908,-0.22340501720997832,-0.23606286573376634,-0.5553346608181216,-0.22653861139168602,5.1,NA,4.4,NA,5,NA,5.2,NA,4.2,NA,4.7,NA
Brendan_Strom,0.13179239221159147,-0.23447372452520726,0.23078081294216246,0.06355072131274149,-0.950038479614493,0.034725355115696147,4.2,NA,4.7,NA,4.4,NA,4.8,NA,3.5,NA,3.8,NA
Brigham_Frentheway,-0.3313261283982318,-0.23207529908646807,0.22640133089867184,NA,0.24461560798057094,0.05453236892448863,4.5,NA,5.5,NA,4.2,NA,4.8,NA,NA,NA,4.5,NA
Brody_Malone,-0.047041791498526615,0.5854210917362548,0.2551346223860149,0.2986547760693864,0.027375187133490124,0.39567509322469047,6.084615384615384,0.30508510792387594,5.914285714285715,0.20354009783964286,5.96,0.142984070596848,5.2,0,5.859999999999999,0.17126976771553487,5.75,0.16499158227686136
Caden_Clinton,0.14106768328501287,0.14139573978841785,0.09327573272833879,0.25092723594040955,0.09160299054388368,-0.24412159358272142,4.7,0,4.55,0.0707106781186545,4.9,0,4.8,0,5,0,4.3,0
Caleb_Melton,-0.3667736693392264,-0.04281178579457906,-0.21739178488920505,-0.47619805387032893,-0.21752293412386436,-0.26537122944445274,4.475,0.2629955639676585,5.8,0.25819888974716104,4.7,0.14142135623730984,4.6,1.2000000000000002,4.475,0.4573474244670748,4.125,0.15000000000000013
Cameron_Bock,0.31493118810920523,0.42161493234393016,0.054531596294243825,0.5288858344996156,0.31264489025505116,-0.07172437132140422,5.15,0.09718253158075502,5.388888888888889,0.24209731743889917,5.766666666666667,0.18708286933869733,5.2,0,5.44,0.1646545204697129,4.955555555555556,0.3844187531556933
Carson_Eshleman,0.04389180970462563,0.2016862828801734,0.1273819507213171,NA,0.5866980282624611,-0.14353776916343958,4.7,NA,5,NA,4.8,NA,4.8,NA,NA,NA,4.6,NA
Charlie_Larson,-0.06977693696723888,NA,NA,NA,NA,0.2526025070124163,NA,NA,4.4,NA,NA,NA,4.8,NA,NA,NA,NA,NA
Chase_Davenport-Mills,-0.28149143143424166,0.01814048775406879,-0.4708522711108379,0.1918407275025901,0.4927296663130135,0.20495442805959443,4.6000000000000005,0.26457513110645914,5.666666666666667,0.05773502691896288,4.2,0.20000000000000018,4.8,0,4.433333333333334,0.11547005383792526,4,0
Christopher_Hiser,0.09321307303054456,NA,NA,NA,0.03409942808422505,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,4.9,NA
Cole_Partridge,-0.02046845157736563,-0.9045507908397622,-0.03440517957067988,-0.4820323640913747,-0.13981575981423097,-0.18184075442348066,4.8,0.26457513110645914,4.6000000000000005,0.26457513110645914,4.933333333333334,0.1527525231651945,4.8,0,4.066666666666666,0.2081665999466132,4.466666666666667,0.05773502691896237
